Codigo,Nome,Ementa
ENM0068,TERMODINAMICA 1 - 60h,A Estrutura lógica da termodinâmica clássica. Conceitos Básicos. A primeira lei da termodinâmica. A segunda Lei da termodinâmica. Processos reversíveis e potenciais termodinâmicos. Sistemas especiais. Aplicações a máquinas térmicas.
ENM0071,TRANSFERENCIA DE CALOR - 90h,"Proporcionar conhecimento teóricos e aplicados sobre os fundamentos da transferência de calor por condução, convecção e radiação."
ENM0072,INSTALACOES TERMOMECANICAS 1 - 60h,TROCADORES DE CALOR COM E SEM MUDANCA DE FASE. CICLO DE REFRIGERACAOPOR COMPRESSAO DE VAPOR. COMPONENTES E CONTROLES DE SISTEMAS DE REFRIGE-RACAO. PSICROMETRIA. TORRES DE RESFRIAMENTO E CONDENSADORES EVAPORATI-VOS. CALCULO DE CARGA TERMICA. CAMARAS FRIGORIFICAS. PROJETO DE SISTEMASDE REFRIGERACAO.
ENM0080,FENOMENOS DE TRANSPORTE - 75h,"Mecânica dos fluidos: Propriedades dos fluidos Estática dos fluidos -manometria, forças em superfícies planas e curvas, empuxo, estabilidade decorpos submersos e flutuantes Estudo dos fluidos em movimento - tipos deescoamento, conceitos de sistema e volume de controle, conservação de massa,equação de energia e suas aplicações, equação de Bernoulli, linhas de gradientede energia, equação da quantidade de movimento e suas aplicações Análisedimensional e semelhança dinâmica Escoamentos internos - efeitos deviscosidade, escoamentos laminar e turbulento, perdas distribuídas e localizadas,escoamento permanente à superfície livre Máquinas de fluxo - teoria, diagramade velocidades, equações teóricas das máquinas, aplicações simples de curvas debombas e curvas de sistema Escoamentos externos Escoamento de fluidoscompressíveis. Transferência de massa: Difusão molecular e difusividadeTransferência de massa por convecção e difusão turbulenta. Transmissão decalor."
ENM0082,MECANICA DOS FLUIDOS 2 - 75h,Cinemática de Escoamentos. Escoamento Invíscido Incompressível. Formulação Diferencial da Equação do Movimento. Escoamento Laminar Viscoso Incompressível: Soluções Exatas. Fundamentos e Aplicações da Teoria da Camada Limite.
ENM0090,MATERIAIS DE CONSTRUCAO MECANICA 1 - 90h,V 01. NOCOES SOBERE PROPRIEDADES E COMPORTAMENTOS DE MATERIAIS. 02. LIGACOES QUIMICAS QUE INTERESSAM A CIENCIA DOS MATEIRAIS. 03. ORDENACAO ATOMICA NOS SOLIDOS 04. DESORDEM ATOMICA NOS SOLIDOS 05. METAIS MONOFASICOS 06. FASES MOLECULARES 07. MATERIAIS CERAMICOS 08. MATERIAIS POLIFASICOS: DIAGRAMAS DE EQUILIBRIO. DIAGRAMA FERRO-CER- BONO. 09. METALURGIA DO PO 10. LABORATORIO: ENSAIOS MECANICOS
ENM0120,MECANICA 1 - 60h,"INTRODUCAOCONCEITOS BASICOSEQUILIBRIO DE CORPOS RIGIDOS EQUILIBRIO DE ESTRUTURAS ESFORCOS INTERNOS PRINCIPIOS DOS TRABALHOS VIRTUAIS E ENERGIA POTENCIAL FUNDAMENTOS DE ESTABILIDADE TRACAO EM BARRAS APLICACOES COMPUTACIONAIS E EXPERIMENTAIS. * objetivos da disciplinas: Desenvolver no aluno a capacidade de analisar e resolver problemas com base no estudo das forças e seus efeitos, aplicado na solução destes problemas alguns conceitos básicos e princípios fundamentais da física e, em particular, da mecânica dos corpos rígidos, dentro do âmbito da estática e tendo em vista a aplicação na engenharia."
ENM0121,MECANICA 2 - 60h,INTRODUÇÃO CONCEITOS BÁSICOS MÉTODOS DE ENERGIA CINEMÁTICA DE CORPOS RÍGIDOSDINÂMICA DOS SISTEMAS DE PARTÍCULASDINÂMICA DECORPOS RÍGIDOS APLICAÇÕES EXPERIMENTAIS E COMPUTACIONAIS.
ENM0122,PROJETO DE MAQUINAS 1 - 60h,"Estudar as características de diversos tiposde elementos de máquina, visando o dimensionamento desses elementos contra falhas estáticas e dinâmicas."
ENM0123,PROJETO DE MAQUINAS 2 - 60h,"PROJETO CONJUNTOS MECANICOS ENVOLVENDO: (a) LUBRIFICACAO MANCAIS DE DESLIZAMENTO DIMENSIONAMENTO E/OU SELECAO DE : (b) COLUNAS E PARAFUSOS DE ACIONAMENTO (c) UNIOES (d) MOLAS (e) EMBREAGENS, FREIOS E VOLANTES"
ENM0124,PROJETO DE SISTEMAS MECANICOS - 60h,"Introduzir o estudante ao projeto de engenharia como a atividade síntese do profissão de engenheiro mecânico integrar os conhecimento e as habilidades técnicas adquiridas ao longo do curtso de graduação na solução de problemas, por meio do desenvolvimentoo de um tema real de projeto apresentar os fundamentos metodológicos do processo de projeto e de solução de problemas desenvolver a habilidade de geração de empreender a identificação , formulação e solução de problemas desenvolver a habilidade de geração de novas soluções para problemas de engenharia , por meio da análise, síntese e otimização de sistemas mecânicos promover a interdisciplinariedade desenvolver a capacidade de comunicação técnica, escrita e oral desenvolver a capacidade de pensamento crítico independente, investigação racional e auto-aprendizagem desenvolver a capacidade de trabalho em equipe promover a compreensão das responsabilidades sociais, culturais e ambientais do engenheiro profissional e a necessidade do desenvolvimento sustentável Abertura à novas idéias."
ENM0127,TECNOLOGIA DE FABRICACAO 1 - 45h,"PROCESSOS DE FABRICAÇÃO COM REMOÇÃO DE MATERIAS.FUNCIONAMENTOE OPERAÇÃO DAS MÁQUINAS FERRAMENTAIS. FATORES QUE AFETAM A VIDA DA FERRAMENTA,CONSUMO DE POTÊNCIA E ACABAMENTO SUPERFICIAL.ECO-NOMIA DA USINAGEM. USIANGEM POR ELETROEROSÃO, POR PROCESSOS ELETRO-QUÍMICOS."
ENM0131,DESENHO MECANICO ASSISTIDO POR COMPUTADOR 1 - 90h,"Objetivos da Disciplina: A disciplina objetiva o desenvolvimento de competências, habilidades e atitudes na leitura, interpretação e execução de desenhos técnicos segundo as normas brasileiras. Ao final do curso, o aluno terá desenvolvimendo suas competências (conhecimentos) e habilidades na utilização da Geometria Descritiva para leitura e execuçaão de desenhos técnicos sendo capaz de utilizar os métodos descritivos da geometria, o sistema de cortes e fazendo uso de visrtas auxiliares. Espera-se também que o mesmo seja capaz de aplicar as normas de desenho técnicos brasileiras para a representação e cotagem de elementos de máquinas comuns à Engenharia Mecânica, bem como para a confecção de desenhos arquitetônicos, elétricos e hidráulicos simples. Objetiva-se também que o aluno desenvolva suas habilidades na execução de desenhos a mão-livre e usando o computador como ferramenta de desenho. Espera-se, ainda, que o aluno desenvolva uma atitude profissional condizente com sua futura atuação como engenheiro na atuação como engenheiro na realização de trabalhos técnicos e no cumprimento de suas responsabilidade."
ENM0132,DESENHO MECANICO ASSISTIDO POR COMPUTADOR 2 - 60h,"Leitura e interpretação de desenhos; Desenho de conjunto, subconjunto e detalhes de uma montagem; Lista de materiais; Adequação de peças e conversão de para condição de mercado; Colocação de tolerâncias em desenhos técnicos; Desenho isométrico; Geração de sólidos com auxílio de programas de desenho assistido por computador - modelamento sólido em 3D."
ENM0134,SISTEMAS INTEGRADOS DE MANUFATURA - 60h,"A VISÃO INTEGRADA DA AUTOMAÇÃO INDUSTRIAL.### OS DIFERENTES SUB-SISTEMAS DO CIM: GESTÃO HIERARQUIZADA, CO-MUNICAÇÃO, INTERFASES E SUB-SISTEMA FÍSICO.### O SUB-SISTEMA FÍSICO: CARACTERIZAÇÃO DE COMPONENTES, EQUIPAMENTOS DE TRANSPORTES E MANUSEIO.### O SISTEMA TRANSPORTE COMO ELEMENTOS DE INTEGRAÇÃO.### CÉLULAS E SISTEMAS FLEXÍVEIS DE MANUFATURA: SUA SITUAÇÃO NO CIM, DIFERENTES CONFIGURAÇÕES (lay-out, sist. de transporte, filosofia de opera-ção).### CONTROLE DE FMS's: O NÍVEL DE SUPERVISÃO/MONITORAÇÃO(MÉTO-DOS E FERRAMENTAS).### A AUTOMATIZAÇÃO INTEGRADA DOS SISTEMAS DE MANUFATURA: MÉTO-DOS E FERRAMENTAS."
ENM0140,MECANICA DOS FLUIDOS 1 - 75h,Noções fundamentais. Tensão em um ponto. Estática dos Fluidos. Fundamentos da análise de escoamentos. Escoamento viscoso incompressível. Análise dimensional e semelhança. Leis básicas para sistemas e volume de controle.
