id,codigo,nome,semestre,horas,requisitos,corequisitos,area,tipo,horario
enm0187,ENM0187,PROCESSO DE DESENVOLVIMENTO DE PRODUTO,98,60,,,humanas,OPT,Não Ofertada
epr0003,EPR0003,TOMADA DE DECISÃO COM ENFOQUE EM ANÁLISE MULTICRITÉRIO,98,60,,,humanas,OPT,Não Ofertada
epr0005,EPR0005,GESTÃO DE RISCOS,98,60,,,humanas,OPT,Não Ofertada
epr0016,EPR0016,CUSTOS EM SISTEMAS DE PRODUÇÃO,98,60,,,humanas,OPT,Não Ofertada
epr0017,EPR0017,DINÂMICA DE SISTEMAS EM ORGANIZAÇÕES,98,60,,,humanas,OPT,Não Ofertada
epr0018,EPR0018,GESTÃO DE RISCOS EM ORGANIZAÇÃO,98,60,,,humanas,OPT,Não Ofertada
epr0019,EPR0019,MERCADOLOGIA ESTRATÉGICA,98,60,,,humanas,OPT,Não Ofertada
epr0020,EPR0020,PESQUISA OPERACIONAL EM ENGENHARIA 2,98,60,,,humanas,OPT,Não Ofertada
epr0024,EPR0024,TÓPICOS ESPECIAIS EM GESTÃO DA INOVAÇÃO,98,60,,,humanas,OPT,Não Ofertada
epr0025,EPR0025,TÓPICOS ESPECIAIS EM ENGENHARIA DO TRABALHO E ERGONOMIA,98,60,,,humanas,OPT,Não Ofertada
epr0026,EPR0026,TÓPICOS ESPECIAIS EM ENGENHARIA DO PRODUTO,98,60,,,humanas,OPT,Não Ofertada
epr0027,EPR0027,TÓPICOS ESPECIAIS EM PESQUISA OPERACIONAL,98,60,,,humanas,OPT,Não Ofertada
epr0028,EPR0028,TÓPICOS ESPECIAIS EM PESQUISA ORGANIZACIONAL,98,60,,,humanas,OPT,Não Ofertada
epr0029,EPR0029,TÓPICOS ESPECIAIS EM LOGÍSTICA,98,60,,,humanas,OPT,Não Ofertada
epr0032,EPR0032,TÓPICOS ESPECIAIS EM GESTÃO SUSTENTÁVEL,98,30,,,humanas,OPT,Não Ofertada
epr0034,EPR0034,SISTEMAS COLABORATIVOS,98,30,,,humanas,OPT,Não Ofertada
epr0035,EPR0035,INOVAÇÃO EM SISTEMAS DE PRODUÇÃO,98,60,,,humanas,OPT,Não Ofertada
epr0039,EPR0039,PLANEJAMENTO E CONTROLE DE SERVIÇOS,98,30,,,humanas,OPT,Não Ofertada
epr0040,EPR0040,ERGONOMIA EM SISTEMAS PRODUTIVOS,98,30,,,humanas,OPT,Não Ofertada
epr0041,EPR0041,CUSTEIO DE BENS E SERVIÇOS,98,30,,,humanas,OPT,Não Ofertada
epr0043,EPR0043,ENGENHARIA DE PRODUTOS FINANCEIROS,98,30,,,humanas,OPT,Não Ofertada
epr0044,EPR0044,DESENVOLVIMENTO DE SERVIÇOS,98,30,,,humanas,OPT,Não Ofertada
epr0049,EPR0049,PROJETO DE FABRICA E LAYOUT,98,30,,,humanas,OPT,Não Ofertada
epr0050,EPR0050,PROJETO DE SISTEMAS DE PRODUÇÃO 8,98,30,,,humanas,OPT,Não Ofertada
epr0051,EPR0051,GESTÃO DE PROJETOS AVANÇADOS,98,30,,,humanas,OPT,Não Ofertada
epr0052,EPR0052,SISTEMA DE PRODUÇÃO AGROALIMENTAR,98,60,,,humanas,OPT,Não Ofertada
epr0053,EPR0053,TÓPICOS ESPECIAIS EM SIMULAÇÃO EMPRESARIAL,98,90,,,humanas,OPT,Não Ofertada
epr0055,EPR0055,TÓPICOS ESPECIAIS EM ENGENHARIA DE OPERAÇÕES,98,60,,,humanas,OPT,Não Ofertada
epr0057,EPR0057,INTRODUÇÃO À ENGENHARIA DE PRODUÇÃO E À QUALIDADE,98,60,,,humanas,OPT,Não Ofertada
epr0070,EPR0070,TÓPICOS ESPECIAIS EM GESTÃO DA QUALIDADE,98,60,,,humanas,OPT,Não Ofertada
epr0075,EPR0075,"CONFIABILIDADE, MANUTENIBILIDADE E DISPONIBILIDADE",98,60,,,humanas,OPT,Não Ofertada
fga0184,FGA0184,GESTÃO DA PRODUÇÃO E QUALIDADE,98,60,,,humanas,OPT,Não Ofertada
fga0195,FGA0195,GESTÃO DA PRODUÇÃO AUTOMOTIVA,98,60,,,humanas,OPT,Não Ofertada
ftd0007,FTD0007,INTRODUCAO A ATIVIDADE EMPRESARIAL,98,60,,,humanas,OPT,Não Ofertada
fup0369,FUP0369,GESTÃO DA CADEIA DE SUPRIMENTOS,98,60,,,humanas,OPT,Não Ofertada
gpp0033,GPP0033,PLANEJAMENTO GOVERNAMENTAL,98,60,,,humanas,OPT,Não Ofertada
gpp0034,GPP0034,ADMINISTRAÇÃO DE SERVIÇOS NO SETOR PÚBLICO,98,60,,,humanas,OPT,Não Ofertada
icb0250,ICB0250,DESENVOLVIMENTO EMBRIONÁRIO E EVOLUÇÃO EM ANIMAIS E VEGETAIS 1,98,75,,,humanas,OPT,Não Ofertada
icb0251,ICB0251,DESENVOLVIMENTO EMBRIONÁRIO E EVOLUÇÃO EM ANIMAIS E VEGETAIS 2,98,75,,,humanas,OPT,Não Ofertada
ifd0072,IFD0072,ELETRICIDADE MAGNETISMO,98,120,,,humanas,OPT,Não Ofertada
ifd0098,IFD0098,FISICA QUANTICA,98,90,,,humanas,OPT,Não Ofertada
ifd0115,IFD0115,ESTADO SOLIDO,98,90,,,humanas,OPT,Não Ofertada
ifd0183,IFD0183,FISICA 4,98,60,,,humanas,OPT,Não Ofertada
ifd0185,IFD0185,FISICA 4 EXPERIMENTAL,98,60,,,humanas,OPT,Não Ofertada
ifd0210,IFD0210,FISICA GERAL 1,98,90,,,humanas,OPT,Não Ofertada
ifd0217,IFD0217,FISICA GERAL 2,98,90,,,humanas,OPT,Não Ofertada
ifd0299,IFD0299,FISICA 1 PARA QUIMICA,98,60,,,humanas,OPT,Não Ofertada
ifd0302,IFD0302,FISICA 1 EXPERIMENTAL PARA QUIMICA,98,30,,,humanas,OPT,Não Ofertada
igd0182,IGD0182,INTRODUÇÃO AO ELETROMAGNETISMO,98,60,,,humanas,OPT,2T2345
